[ 2013-09-06T17:46:33+08:00 ] /xnfy520_yaomai/Public/js/jqueryUi/images/ui-bg_flat_75_ffffff_40x100.png | ERR: (ThinkException) 非法操作js
[ 2013-09-06T17:53:47+08:00 ] /xnfy520_yaomai/Member/voteOrder | INFO: Tag[ view_template ] --START--
[ 2013-09-06T17:53:47+08:00 ] /xnfy520_yaomai/Member/voteOrder | INFO: Run LocationTemplate Behavior [ RunTime:0.000225s ]
[ 2013-09-06T17:53:47+08:00 ] /xnfy520_yaomai/Member/voteOrder | INFO: Tag[ view_template ] --END-- [ RunTime:0.000281s ]
[ 2013-09-06T17:53:47+08:00 ] /xnfy520_yaomai/Member/voteOrder | INFO: Tag[ view_parse ] --START--
[ 2013-09-06T17:53:47+08:00 ] /xnfy520_yaomai/Member/voteOrder | NOTIC: [2] file_get_contents(./home/Tpl/default/Index/footer-x.html) [<a href='function.file-get-contents'>function.file-get-contents</a>]: failed to open stream: No such file or directory ThinkTemplate.class.php 第 702 行.
[ 2013-09-06T17:53:47+08:00 ] /xnfy520_yaomai/Member/voteOrder | NOTIC: [8] Undefined index: page 807cf8ea7aafd599964f33097d725fc4.php 第 355 行.
[ 2013-09-06T17:53:47+08:00 ] /xnfy520_yaomai/Member/voteOrder | NOTIC: [8] Use of undefined constant GROUP_NAME - assumed 'GROUP_NAME' 807cf8ea7aafd599964f33097d725fc4.php 第 535 行.
[ 2013-09-06T17:53:47+08:00 ] /xnfy520_yaomai/Member/voteOrder | NOTIC: [8] Undefined variable: fake_action_name 807cf8ea7aafd599964f33097d725fc4.php 第 539 行.
[ 2013-09-06T17:53:47+08:00 ] /xnfy520_yaomai/Member/voteOrder | NOTIC: [8] Undefined variable: define_fake_action_value 807cf8ea7aafd599964f33097d725fc4.php 第 541 行.
[ 2013-09-06T17:53:47+08:00 ] /xnfy520_yaomai/Member/voteOrder | NOTIC: [8] Undefined index: status 807cf8ea7aafd599964f33097d725fc4.php 第 543 行.
[ 2013-09-06T17:53:47+08:00 ] /xnfy520_yaomai/Member/voteOrder | NOTIC: [8] Undefined index: page 807cf8ea7aafd599964f33097d725fc4.php 第 547 行.
[ 2013-09-06T17:53:47+08:00 ] /xnfy520_yaomai/Member/voteOrder | NOTIC: [8] Undefined index: pid 807cf8ea7aafd599964f33097d725fc4.php 第 549 行.
[ 2013-09-06T17:53:47+08:00 ] /xnfy520_yaomai/Member/voteOrder | NOTIC: [8] Undefined index: rid 807cf8ea7aafd599964f33097d725fc4.php 第 551 行.
[ 2013-09-06T17:53:47+08:00 ] /xnfy520_yaomai/Member/voteOrder | NOTIC: [8] Undefined index: sid 807cf8ea7aafd599964f33097d725fc4.php 第 553 行.
[ 2013-09-06T17:53:47+08:00 ] /xnfy520_yaomai/Member/voteOrder | NOTIC: [8] Undefined index: cid 807cf8ea7aafd599964f33097d725fc4.php 第 555 行.
[ 2013-09-06T17:53:47+08:00 ] /xnfy520_yaomai/Member/voteOrder | NOTIC: [8] Undefined index: id 807cf8ea7aafd599964f33097d725fc4.php 第 557 行.
[ 2013-09-06T17:53:47+08:00 ] /xnfy520_yaomai/Member/voteOrder | NOTIC: [8] Undefined index: category 807cf8ea7aafd599964f33097d725fc4.php 第 559 行.
[ 2013-09-06T17:53:47+08:00 ] /xnfy520_yaomai/Member/voteOrder | NOTIC: [8] Undefined index: where 807cf8ea7aafd599964f33097d725fc4.php 第 561 行.
[ 2013-09-06T17:53:47+08:00 ] /xnfy520_yaomai/Member/voteOrder | NOTIC: [8] Undefined index: price 807cf8ea7aafd599964f33097d725fc4.php 第 563 行.
[ 2013-09-06T17:53:47+08:00 ] /xnfy520_yaomai/Member/voteOrder | NOTIC: [8] Undefined index: sales 807cf8ea7aafd599964f33097d725fc4.php 第 565 行.
[ 2013-09-06T17:53:47+08:00 ] /xnfy520_yaomai/Member/voteOrder | NOTIC: [8] Undefined index: search_key 807cf8ea7aafd599964f33097d725fc4.php 第 567 行.
[ 2013-09-06T17:53:47+08:00 ] /xnfy520_yaomai/Member/voteOrder | NOTIC: [8] Undefined index: type 807cf8ea7aafd599964f33097d725fc4.php 第 571 行.
[ 2013-09-06T17:53:47+08:00 ] /xnfy520_yaomai/Member/voteOrder | NOTIC: [8] Undefined index: search 807cf8ea7aafd599964f33097d725fc4.php 第 573 行.
[ 2013-09-06T17:53:47+08:00 ] /xnfy520_yaomai/Member/voteOrder | NOTIC: [8] Undefined index: when 807cf8ea7aafd599964f33097d725fc4.php 第 575 行.
[ 2013-09-06T17:53:47+08:00 ] /xnfy520_yaomai/Member/voteOrder | INFO: Run ParseTemplate Behavior [ RunTime:0.039165s ]
[ 2013-09-06T17:53:47+08:00 ] /xnfy520_yaomai/Member/voteOrder | INFO: Tag[ view_parse ] --END-- [ RunTime:0.039208s ]
[ 2013-09-06T17:53:47+08:00 ] /xnfy520_yaomai/Member/voteOrder | INFO: Tag[ view_filter ] --START--
[ 2013-09-06T17:53:47+08:00 ] /xnfy520_yaomai/Member/voteOrder | INFO: Run ContentReplace Behavior [ RunTime:0.000750s ]
[ 2013-09-06T17:53:47+08:00 ] /xnfy520_yaomai/Member/voteOrder | INFO: Run TokenBuild Behavior [ RunTime:0.000236s ]
[ 2013-09-06T17:53:47+08:00 ] /xnfy520_yaomai/Member/voteOrder | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000147s ]
[ 2013-09-06T17:53:47+08:00 ] /xnfy520_yaomai/Member/voteOrder | INFO: Run ShowRuntime Behavior [ RunTime:0.000369s ]
[ 2013-09-06T17:53:47+08:00 ] /xnfy520_yaomai/Member/voteOrder | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001632s ]
[ 2013-09-06T17:53:47+08:00 ] /xnfy520_yaomai/Member/voteOrder | NOTIC: [2] Cannot modify header information - headers already sent by (output started at /Users/weizhang/Documents/WebServer/ThinkPHP/Extend/Library/ORG/Util/ajax_page.class.php:1) View.class.php 第 120 行.
[ 2013-09-06T17:53:47+08:00 ] /xnfy520_yaomai/Member/voteOrder | NOTIC: [2] Cannot modify header information - headers already sent by (output started at /Users/weizhang/Documents/WebServer/ThinkPHP/Extend/Library/ORG/Util/ajax_page.class.php:1) View.class.php 第 121 行.
[ 2013-09-06T17:53:47+08:00 ] /xnfy520_yaomai/Member/voteOrder | NOTIC: [2] Cannot modify header information - headers already sent by (output started at /Users/weizhang/Documents/WebServer/ThinkPHP/Extend/Library/ORG/Util/ajax_page.class.php:1) View.class.php 第 122 行.
[ 2013-09-06T17:53:47+08:00 ] /xnfy520_yaomai/Member/voteOrder | INFO: Tag[ view_end ] --START--
[ 2013-09-06T17:53:47+08:00 ] /xnfy520_yaomai/Member/voteOrder | INFO: Run ShowPageTrace Behavior [ RunTime:0.000361s ]
[ 2013-09-06T17:53:47+08:00 ] /xnfy520_yaomai/Member/voteOrder | INFO: Tag[ view_end ] --END-- [ RunTime:0.000422s ]
[ 2013-09-06T17:53:48+08:00 ] /xnfy520_yaomai/Public/js/jqueryUi/images/ui-bg_flat_75_ffffff_40x100.png | ERR: (ThinkException) 非法操作js
[ 2013-09-06T17:53:49+08:00 ] /xnfy520_yaomai/Member/completeOrder | INFO: Tag[ route_check ] --START--
[ 2013-09-06T17:53:49+08:00 ] /xnfy520_yaomai/Member/completeOrder | INFO: Run CheckRoute Behavior [ RunTime:0.000378s ]
[ 2013-09-06T17:53:49+08:00 ] /xnfy520_yaomai/Member/completeOrder | INFO: Tag[ route_check ] --END-- [ RunTime:0.000437s ]
[ 2013-09-06T17:53:49+08:00 ] /xnfy520_yaomai/Member/completeOrder | INFO: Tag[ app_begin ] --START--
[ 2013-09-06T17:53:49+08:00 ] /xnfy520_yaomai/Member/completeOrder | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000220s ]
[ 2013-09-06T17:53:49+08:00 ] /xnfy520_yaomai/Member/completeOrder | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000249s ]
[ 2013-09-06T17:53:49+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_category` [ RunTime:0.002199s ]
[ 2013-09-06T17:53:49+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_information` [ RunTime:0.001593s ]
[ 2013-09-06T17:53:49+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT * FROM `xnfy520_yaomai_help_center_information` WHERE pid=1 and publish=1 ORDER BY sort,id  [ RunTime:0.000298s ]
[ 2013-09-06T17:53:49+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_category` [ RunTime:0.001826s ]
[ 2013-09-06T17:53:49+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT * FROM `xnfy520_yaomai_help_center_category` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000325s ]
[ 2013-09-06T17:53:49+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_category` [ RunTime:0.001691s ]
[ 2013-09-06T17:53:49+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT * FROM `xnfy520_yaomai_help_center_category` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000216s ]
[ 2013-09-06T17:53:49+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_category` [ RunTime:0.001538s ]
[ 2013-09-06T17:53:49+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT * FROM `xnfy520_yaomai_help_center_category` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000235s ]
[ 2013-09-06T17:53:49+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_category` [ RunTime:0.001575s ]
[ 2013-09-06T17:53:49+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT * FROM `xnfy520_yaomai_help_center_category` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000245s ]
[ 2013-09-06T17:53:49+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT * FROM `xnfy520_yaomai_help_center_category` WHERE id<>1 and publish=1  [ RunTime:0.000257s ]
[ 2013-09-06T17:53:49+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_information` [ RunTime:0.001915s ]
[ 2013-09-06T17:53:49+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT `id`,`pid`,`name`,`sort` FROM `xnfy520_yaomai_help_center_information` WHERE publish=1 AND pid='2' ORDER BY sort,id LIMIT 4   [ RunTime:0.000296s ]
[ 2013-09-06T17:53:49+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_information` [ RunTime:0.001940s ]
[ 2013-09-06T17:53:49+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT `id`,`pid`,`name`,`sort` FROM `xnfy520_yaomai_help_center_information` WHERE publish=1 AND pid='3' ORDER BY sort,id LIMIT 4   [ RunTime:0.000294s ]
[ 2013-09-06T17:53:49+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_information` [ RunTime:0.001949s ]
[ 2013-09-06T17:53:49+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT `id`,`pid`,`name`,`sort` FROM `xnfy520_yaomai_help_center_information` WHERE publish=1 AND pid='4' ORDER BY sort,id LIMIT 4   [ RunTime:0.000331s ]
[ 2013-09-06T17:53:49+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_information` [ RunTime:0.002153s ]
[ 2013-09-06T17:53:49+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT `id`,`pid`,`name`,`sort` FROM `xnfy520_yaomai_help_center_information` WHERE publish=1 AND pid='5' ORDER BY sort,id LIMIT 4   [ RunTime:0.000383s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_category` [ RunTime:0.002647s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT * FROM `xnfy520_yaomai_commodity_category` WHERE publish=1 ORDER BY sort,id  [ RunTime:0.000320s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.001797s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='1' ORDER BY sort,id  [ RunTime:0.000295s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.002059s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='2' ORDER BY sort,id  [ RunTime:0.000322s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.002032s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='3' ORDER BY sort,id  [ RunTime:0.000312s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.002194s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='4' ORDER BY sort,id  [ RunTime:0.000321s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.001683s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='5' ORDER BY sort,id  [ RunTime:0.000303s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.001597s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='6' ORDER BY sort,id  [ RunTime:0.000245s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_user` [ RunTime:0.033851s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT * FROM `xnfy520_yaomai_user` WHERE ( `username` = 'tianyun1' ) AND ( `email` = '182065881@qq.com' ) AND ( `id` = '42' ) AND ( `roleid` = '16' ) LIMIT 1   [ RunTime:0.000352s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_role` [ RunTime:0.053609s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT * FROM `xnfy520_yaomai_role` WHERE 1=1 AND id='16' LIMIT 1   [ RunTime:0.000243s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_integral_exchange_logs` [ RunTime:0.054637s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT * FROM `xnfy520_yaomai_integral_exchange_logs` WHERE 1=1 AND by_user='42'  [ RunTime:0.000216s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_carts` [ RunTime:0.055001s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT COUNT(*) AS tp_count FROM `xnfy520_yaomai_carts` WHERE by_user=42 LIMIT 1   [ RunTime:0.000285s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_advert_list` [ RunTime:0.043699s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT * FROM `xnfy520_yaomai_advert_list` WHERE publish=1 AND pid=9 ORDER BY sort LIMIT 1   [ RunTime:0.000292s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_system_announcement` [ RunTime:0.045638s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT * FROM `xnfy520_yaomai_system_announcement` WHERE publish=1 ORDER BY sort desc LIMIT 20   [ RunTime:0.000285s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_user` [ RunTime:0.045227s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT * FROM `xnfy520_yaomai_user` WHERE ( `username` = 'tianyun1' ) AND ( `email` = '182065881@qq.com' ) AND ( `id` = '42' ) AND ( `roleid` = '16' ) LIMIT 1   [ RunTime:0.000283s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_role` [ RunTime:0.021908s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT * FROM `xnfy520_yaomai_role` WHERE 1=1 AND id='16' LIMIT 1   [ RunTime:0.000199s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_integral_exchange_logs` [ RunTime:0.040660s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT * FROM `xnfy520_yaomai_integral_exchange_logs` WHERE 1=1 AND by_user='42'  [ RunTime:0.000406s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_user` [ RunTime:0.026989s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT * FROM `xnfy520_yaomai_user` WHERE ( `username` = 'tianyun1' ) AND ( `email` = '182065881@qq.com' ) AND ( `id` = '42' ) AND ( `roleid` = '16' ) LIMIT 1   [ RunTime:0.000275s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_role` [ RunTime:0.017153s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT * FROM `xnfy520_yaomai_role` WHERE 1=1 AND id='16' LIMIT 1   [ RunTime:0.000223s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_integral_exchange_logs` [ RunTime:0.031940s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT * FROM `xnfy520_yaomai_integral_exchange_logs` WHERE 1=1 AND by_user='42'  [ RunTime:0.000215s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_member_order` [ RunTime:0.012092s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT COUNT(*) AS tp_count FROM `xnfy520_yaomai_member_order` WHERE ( `uid` = '42' ) AND ( `commodity_type` < 3 ) AND ( `pay_type` >= 1 ) LIMIT 1   [ RunTime:0.000338s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | NOTIC: [8] Undefined index: page ajax_page.class.php 第 20 行.
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT * FROM `xnfy520_yaomai_member_order` WHERE ( `uid` = '42' ) AND ( `commodity_type` < 3 ) AND ( `pay_type` >= 1 ) ORDER BY create_date desc LIMIT 0 ,11   [ RunTime:0.000268s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT COUNT(*) AS tp_count FROM `xnfy520_yaomai_member_order` WHERE ( `uid` = '42' ) AND ( `commodity_type` < 3 ) LIMIT 1   [ RunTime:0.000130s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT COUNT(*) AS tp_count FROM `xnfy520_yaomai_member_order` WHERE ( `uid` = '42' ) AND ( `commodity_type` < 3 ) AND ( `pay_type` > 0 ) LIMIT 1   [ RunTime:0.000132s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT COUNT(*) AS tp_count FROM `xnfy520_yaomai_member_order` WHERE ( `uid` = '42' ) AND ( `commodity_type` < 3 ) AND ( `pay_type` = 0 ) LIMIT 1   [ RunTime:0.000197s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | INFO: Tag[ view_template ] --START--
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | INFO: Run LocationTemplate Behavior [ RunTime:0.000284s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | INFO: Tag[ view_template ] --END-- [ RunTime:0.000337s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | INFO: Tag[ view_parse ] --START--
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | NOTIC: [2] file_get_contents(./home/Tpl/default/Index/footer-x.html) [<a href='function.file-get-contents'>function.file-get-contents</a>]: failed to open stream: No such file or directory ThinkTemplate.class.php 第 702 行.
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | NOTIC: [8] Undefined index: page a425e6c80156556bf0c120e70030401b.php 第 321 行.
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | NOTIC: [8] Use of undefined constant GROUP_NAME - assumed 'GROUP_NAME' a425e6c80156556bf0c120e70030401b.php 第 425 行.
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | NOTIC: [8] Undefined variable: fake_action_name a425e6c80156556bf0c120e70030401b.php 第 429 行.
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | NOTIC: [8] Undefined variable: define_fake_action_value a425e6c80156556bf0c120e70030401b.php 第 431 行.
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | NOTIC: [8] Undefined index: status a425e6c80156556bf0c120e70030401b.php 第 433 行.
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | NOTIC: [8] Undefined index: page a425e6c80156556bf0c120e70030401b.php 第 437 行.
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | NOTIC: [8] Undefined index: pid a425e6c80156556bf0c120e70030401b.php 第 439 行.
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | NOTIC: [8] Undefined index: rid a425e6c80156556bf0c120e70030401b.php 第 441 行.
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | NOTIC: [8] Undefined index: sid a425e6c80156556bf0c120e70030401b.php 第 443 行.
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | NOTIC: [8] Undefined index: cid a425e6c80156556bf0c120e70030401b.php 第 445 行.
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | NOTIC: [8] Undefined index: id a425e6c80156556bf0c120e70030401b.php 第 447 行.
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | NOTIC: [8] Undefined index: category a425e6c80156556bf0c120e70030401b.php 第 449 行.
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | NOTIC: [8] Undefined index: where a425e6c80156556bf0c120e70030401b.php 第 451 行.
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | NOTIC: [8] Undefined index: price a425e6c80156556bf0c120e70030401b.php 第 453 行.
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | NOTIC: [8] Undefined index: sales a425e6c80156556bf0c120e70030401b.php 第 455 行.
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | NOTIC: [8] Undefined index: search_key a425e6c80156556bf0c120e70030401b.php 第 457 行.
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | NOTIC: [8] Undefined index: type a425e6c80156556bf0c120e70030401b.php 第 461 行.
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | NOTIC: [8] Undefined index: search a425e6c80156556bf0c120e70030401b.php 第 463 行.
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | NOTIC: [8] Undefined index: when a425e6c80156556bf0c120e70030401b.php 第 465 行.
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | INFO: Run ParseTemplate Behavior [ RunTime:0.029605s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | INFO: Tag[ view_parse ] --END-- [ RunTime:0.029678s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | INFO: Tag[ view_filter ] --START--
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | INFO: Run ContentReplace Behavior [ RunTime:0.000886s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | INFO: Run TokenBuild Behavior [ RunTime:0.000281s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000128s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | INFO: Run ShowRuntime Behavior [ RunTime:0.000287s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001727s ]
[ 2013-09-06T17:53:50+08:00 ] /xnfy520_yaomai/Member/completeOrder | NOTIC: [2] Cannot modify header information - headers already sent by (output started at /Users/weizhang/Documents/WebServer/ThinkPHP/Extend/Library/ORG/Util/ajax_page.class.php:1) View.class.php 第 120 行.
